စဥ်,အမျိုးအမည်,ကုန်စည်ဒိုင်,နေ့စွဲ,အချင်အတွယ်,စျေးနှုန်း (မြန်မာကျပ်),အတက်/အကျ,%
153,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-01,တင်း,"19,867",0,0.00%
154,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-02,တင်း,"19,867",0,0.00%
155,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-03,တင်း,"20,174",307,1.55%
156,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-04,တင်း,"20,174",0,0.00%
157,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-05,တင်း,"20,174",0,0.00%
158,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-06,တင်း,"20,935",761,3.77%
159,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-07,တင်း,"20,935",0,0.00%
160,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-08,တင်း,"20,935",0,0.00%
161,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-09,တင်း,"20,935",0,0.00%
162,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-10,တင်း,"21,395",460,2.19%
163,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-11,တင်း,"21,395",0,0.00%
164,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-12,တင်း,"21,395",0,0.00%
165,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-13,တင်း,"21,702",307,1.43%
166,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-14,တင်း,"21,702",0,0.00%
167,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-15,တင်း,"21,702",0,0.00%
168,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-16,တင်း,"21,702",0,0.00%
169,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-17,တင်း,"22,158",456,2.10%
170,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-18,တင်း,"22,158",0,2.10%
171,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-19,တင်း,"22,158",0,0.00%
172,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-20,တင်း,"22,158",0,0.00%
173,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-21,တင်း,"22,158",0,0.00%
174,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-22,တင်း,"22,158",0,0.00%
175,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-23,တင်း,"22,158",0,0.00%
176,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-24,တင်း,"21,702",-456,-2.06%
177,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-25,တင်း,"21,702",0,0.00%
178,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-26,တင်း,"21,702",0,0.00%
179,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-27,တင်း,"21,702",0,0.00%
180,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-28,တင်း,"21,702",0,0.00%
181,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-29,တင်း,"21,702",0,0.00%
182,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-06-30,တင်း,"21,702",0,0.00%
183,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-01,တင်း,"21,702",0,0.00%
184,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-02,တင်း,"21,702",0,0.00%
185,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-03,တင်း,"21,702",0,0.00%
186,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-04,တင်း,"21,702",0,0.00%
187,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-05,တင်း,"21,702",0,0.00%
188,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-06,တင်း,"21,702",0,0.00%
189,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-07,တင်း,"21,702",0,0.00%
190,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-08,တင်း,"22,158",456,0.00%
191,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-09,တင်း,"22,158",0,0.00%
192,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-10,တင်း,"22,158",0,0.00%
193,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-11,တင်း,"22,158",0,0.00%
194,ပြောင်းဖူးစေ့,ဘုရင့်နောင်ကုန်စည်ဒိုင်,2024-07-12,တင်း,"22,158",0,0.00%
